size,440,441,442,443,444,456,457,458,459,460,484,485,486,487,488,446,447,448,449,450,451,452,453,454,455,461,462,463,464,465,466,467,468,469,470,471,472,476,477,478,479,480,481,482,490,491,492,493,494,VC-BER-20,VC-BER-21,VC-BER-31,VC-BER-22,VC-BER-23,VC-BER-24,VC-BER-25,VC-BER-26,VC-BER-28,VC-BER-29,VC-BER-27,VC-BER-30,95,96,97,98,100,105,106,107,108,109,111,112,114,GS
1.65,0.00409,0.00471,0.00435,0.00291,0.00451,0.00421,0.00472,0.00386,0.00407,0.00484,0.00619,0.00485,0.00316,0.0031,0.00499,0.00369,0.00513,0.0071,0.00532,0.00678,0.00507,0.00381,0.00526,0.00655,0.00249,0.00306,0.00448,0.00467,0.00405,0.00396,0.00295,0.00261,0.00211,0.0044,0.00379,0.00453,0.00442,0.0031,0.00289,0.00368,0.00379,0.00342,0.00403,0.00388,0.00411,0.00492,0.00524,0.00401,0.00394,0.011132232,0.01095574,0.009994306,0.006005679,0.004426214,0.006385263,0.002606967,0.005309032,0.009501929,0.00890777,0.004946704,0.001982877,0.001668158,0.002025871,0.002419482,0.002542773,0.002816432,0.003004401,0.003640042,0.003312557,0.002619158,0.002816032,0.00220484,0.00201569,0.001792138,0.00238736
1.95,0.00493,0.0057,0.00522,0.00342,0.00544,0.00508,0.00575,0.00465,0.00495,0.00589,0.00761,0.00608,0.00382,0.00374,0.00612,0.00447,0.00624,0.00865,0.00651,0.00827,0.00619,0.00466,0.00641,0.00815,0.003,0.00372,0.00547,0.0057,0.0049,0.00479,0.00352,0.00314,0.00251,0.00537,0.00457,0.00548,0.00533,0.00374,0.00349,0.00446,0.00462,0.00413,0.00488,0.00468,0.00504,0.00603,0.00634,0.00481,0.00481,0.013337674,0.012697107,0.011290228,0.007103917,0.005839822,0.008023959,0.003313021,0.006584035,0.011197109,0.010302381,0.00603406,0.002612732,0.001992119,0.002393019,0.002796544,0.002978677,0.003285838,0.003582736,0.004197867,0.003879179,0.00311025,0.003394669,0.002729802,0.002560471,0.002197658,0.002824591
2.3,0.00597,0.00688,0.00625,0.00404,0.0066,0.00613,0.00703,0.00563,0.00607,0.00721,0.00966,0.00783,0.00486,0.0047,0.00779,0.00547,0.00754,0.0105,0.00795,0.01009,0.00758,0.00576,0.00795,0.01039,0.00368,0.00455,0.00676,0.00706,0.006,0.00581,0.00431,0.00385,0.00304,0.00657,0.00559,0.00668,0.00654,0.00453,0.00431,0.00551,0.00572,0.00511,0.00607,0.00582,0.00634,0.00754,0.00803,0.00601,0.00623,0.016036715,0.014429724,0.012841407,0.008330777,0.007531516,0.010114709,0.004192872,0.008109859,0.013070729,0.011705052,0.007305195,0.003452539,0.002369267,0.002819173,0.003330715,0.00354172,0.003861238,0.004190478,0.004774601,0.0044458,0.003655908,0.004011881,0.00330726,0.003105252,0.002655504,0.003569553
2.72,0.00695,0.008,0.00725,0.00457,0.0077,0.00709,0.00821,0.00651,0.00708,0.00834,0.0113,0.00924,0.00697,0.00538,0.00894,0.00636,0.00878,0.01221,0.00928,0.01172,0.00886,0.00667,0.00914,0.0122,0.0042,0.00536,0.00793,0.00824,0.00692,0.00665,0.00497,0.00443,0.00341,0.00757,0.00643,0.00765,0.00747,0.00525,0.00499,0.00638,0.0066,0.00588,0.00699,0.00777,0.00736,0.00876,0.00941,0.00691,0.00723,0.018399689,0.015689809,0.013783895,0.009290499,0.008875603,0.011301351,0.004942375,0.009447568,0.014542859,0.012736902,0.008285347,0.00412905,0.00273191,0.003212546,0.003802042,0.004050274,0.004421496,0.004808022,0.005322971,0.004997893,0.004228849,0.004706245,0.003989711,0.003704511,0.003139512,0.003907708
3.2,0.00806,0.00922,0.00838,0.00524,0.00905,0.00817,0.00956,0.0076,0.00829,0.00972,0.01345,0.01105,0.01214,0.00642,0.01049,0.0074,0.01011,0.01404,0.01076,0.01348,0.01037,0.00782,0.01068,0.01448,0.00491,0.0063,0.00932,0.00967,0.00813,0.00769,0.00588,0.00528,0.00396,0.00887,0.00751,0.00888,0.00869,0.00613,0.00588,0.00752,0.00775,0.00693,0.00826,0.0123,0.0087,0.01042,0.0114,0.00827,0.00882,0.02050011,0.016783633,0.014942371,0.010359055,0.010613645,0.013335594,0.005865676,0.011130155,0.016037294,0.013736507,0.009495222,0.005132153,0.003152576,0.003697706,0.004461901,0.004685968,0.005042322,0.005454973,0.005871341,0.005564515,0.004856356,0.005477761,0.004724657,0.004412726,0.003688927,0.004752269
3.78,0.00951,0.01078,0.00987,0.00607,0.01081,0.00955,0.01127,0.00896,0.00974,0.01135,0.01578,0.01302,0.01592,0.00753,0.01198,0.0087,0.01185,0.01642,0.01265,0.01572,0.01229,0.00915,0.01238,0.01692,0.00566,0.00748,0.011,0.01133,0.0095,0.00888,0.00689,0.00624,0.00458,0.01034,0.00877,0.01029,0.01008,0.00725,0.00686,0.00883,0.009,0.00809,0.00958,0.01557,0.01015,0.01206,0.01353,0.00975,0.01044,0.023104632,0.018192478,0.016159752,0.011526551,0.012212644,0.014861276,0.006832426,0.013209874,0.017922066,0.014953768,0.010705097,0.005925304,0.003727969,0.004399221,0.005310291,0.005503287,0.005905422,0.006400894,0.006608804,0.006290953,0.005674842,0.006365004,0.005564597,0.005175419,0.004356073,0.005432442
4.46,0.01156,0.01297,0.012,0.00734,0.01341,0.01152,0.01377,0.011,0.01184,0.01374,0.019,0.01575,0.01419,0.00918,0.01403,0.01053,0.01428,0.01973,0.01529,0.01882,0.01509,0.01112,0.0149,0.02034,0.00678,0.00919,0.01339,0.01371,0.01151,0.01064,0.0084,0.0077,0.00556,0.01255,0.01066,0.0124,0.0122,0.00889,0.0083,0.01077,0.01083,0.0098,0.01156,0.01467,0.0122,0.0145,0.01655,0.01201,0.01281,0.026580829,0.020231366,0.018083999,0.013178854,0.014483686,0.017460587,0.008255396,0.016324227,0.020632124,0.016711138,0.012466307,0.007138358,0.004603148,0.005461328,0.006535742,0.006702023,0.007162217,0.007773214,0.007658271,0.007293437,0.00687529,0.007676581,0.006719513,0.006373938,0.005311008,0.006585812
5.27,0.01401,0.01557,0.01455,0.00891,0.01652,0.01381,0.01673,0.01346,0.01433,0.01652,0.02273,0.019,0.01398,0.01124,0.01627,0.01266,0.01712,0.02351,0.01829,0.02223,0.01835,0.01343,0.01775,0.024,0.00809,0.01112,0.01618,0.01644,0.01387,0.01266,0.01014,0.00933,0.00672,0.01509,0.01289,0.01487,0.01469,0.01088,0.01002,0.01312,0.01299,0.01185,0.01385,0.01514,0.01455,0.01734,0.02044,0.01493,0.01565,0.030445604,0.022550272,0.020479491,0.015068615,0.016662032,0.020116404,0.009906475,0.020076082,0.023699061,0.018629735,0.014457241,0.00849138,0.005720088,0.00679224,0.007949725,0.008191362,0.008782423,0.009508219,0.008972468,0.008557439,0.008266718,0.009296763,0.008031918,0.007681412,0.006475244,0.008001737
6.21,0.01657,0.01834,0.01724,0.0107,0.01966,0.01616,0.01976,0.016,0.01693,0.01936,0.02638,0.02234,0.01709,0.01358,0.01842,0.0148,0.02002,0.02714,0.02114,0.02534,0.02157,0.01583,0.02059,0.02719,0.00952,0.01294,0.01902,0.01913,0.01625,0.01466,0.01197,0.01088,0.00792,0.01768,0.01528,0.01744,0.01735,0.01295,0.01186,0.01562,0.01525,0.01407,0.01619,0.01816,0.01689,0.0203,0.02447,0.01823,0.01853,0.034152848,0.025149198,0.023562214,0.017195833,0.018423248,0.022602701,0.011644453,0.023775683,0.026721388,0.0205967,0.016540064,0.009797747,0.006962744,0.008208383,0.009332286,0.00995314,0.010811466,0.011551996,0.010579759,0.010097488,0.009903691,0.011109825,0.009449315,0.009043365,0.007783374,0.00953284
7.33,0.01908,0.02105,0.01988,0.01263,0.02256,0.01834,0.02252,0.01842,0.01939,0.02197,0.02939,0.02543,0.02249,0.01599,0.02038,0.01674,0.02266,0.03014,0.02349,0.02789,0.02442,0.0181,0.0231,0.02953,0.01097,0.01452,0.02161,0.02143,0.01843,0.01647,0.01377,0.01218,0.00911,0.02014,0.01759,0.01987,0.01991,0.01497,0.01365,0.01801,0.01744,0.01628,0.01834,0.02271,0.01906,0.023,0.02808,0.02164,0.02123,0.037040927,0.028036892,0.027312533,0.019530825,0.019929551,0.024862971,0.013382431,0.027046799,0.029476056,0.022571726,0.018607572,0.011010801,0.008234412,0.009611413,0.010557738,0.011823895,0.013113066,0.013884941,0.012423417,0.011913583,0.011786211,0.01307719,0.011024201,0.010405317,0.009143829,0.011104789
